site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,38.062,-102.61841,9,5,1104,232
2,37.062,-102.61841,9,5,973,352
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2001/01/01,15,2,16,128,8,1,N\A
1,2001/01/09,9,1,16,136,0,0,N\A
1,2001/01/17,0,0,97,164,248,248,N\A
1,2001/01/25,0,0,97,132,248,248,N\A
1,2001/02/02,9,1,8,192,0,0,N\A
1,2001/02/10,9,1,0,132,0,0,N\A
1,2001/02/18,13,2,16,128,7,1,N\A
1,2001/02/26,13,2,16,136,7,1,N\A
1,2001/03/06,13,2,0,136,7,1,N\A
1,2001/03/14,11,2,0,136,7,1,N\A
1,2001/03/22,10,2,0,136,6,1,N\A
1,2001/03/30,11,2,0,136,6,1,N\A
1,2001/04/07,13,3,0,128,6,1,N\A
1,2001/04/15,14,3,0,136,6,1,N\A
1,2001/04/23,18,3,0,128,8,2,N\A
1,2001/05/01,19,4,8,192,9,2,N\A
1,2001/05/09,27,5,0,136,4,1,N\A
1,2001/05/17,34,7,0,128,4,1,N\A
1,2001/05/25,38,8,0,136,6,2,N\A
1,2001/06/02,42,11,0,136,5,2,N\A
1,2001/06/10,43,11,0,136,5,2,N\A
1,2001/07/04,24,5,0,192,5,1,N\A
1,2001/07/12,27,6,0,136,6,1,N\A
1,2001/07/20,24,5,0,128,5,1,N\A
1,2001/07/28,26,5,0,128,7,2,N\A
1,2001/08/05,24,5,0,136,5,1,N\A
1,2001/08/13,24,5,0,136,5,1,N\A
1,2001/08/21,23,4,0,128,5,1,N\A
1,2001/08/29,23,5,0,136,5,1,N\A
1,2001/09/06,21,3,0,128,0,0,N\A
1,2001/09/14,24,4,0,128,8,2,N\A
1,2001/09/22,20,3,0,128,0,0,N\A
1,2001/09/30,16,3,0,136,7,1,N\A
1,2001/10/08,16,3,0,128,6,1,N\A
1,2001/10/16,15,3,0,128,7,1,N\A
1,2001/10/24,13,2,0,128,7,1,N\A
1,2001/11/01,17,2,0,136,9,1,N\A
1,2001/11/09,15,2,16,128,9,1,N\A
1,2001/11/17,13,2,16,128,8,1,N\A
1,2001/11/25,9,1,16,128,0,0,N\A
1,2001/12/03,11,1,8,136,6,1,N\A
1,2001/12/11,9,1,0,192,0,0,N\A
1,2001/12/19,9,1,16,128,0,0,N\A
1,2001/12/27,9,1,8,160,0,0,N\A
2,2001/01/01,14,2,16,136,8,1,N\A
2,2001/01/09,9,1,0,136,0,0,N\A
2,2001/01/17,0,0,105,160,248,248,N\A
2,2001/01/25,3,1,105,128,248,248,N\A
2,2001/02/02,8,1,0,136,0,0,N\A
2,2001/02/10,9,1,16,136,0,0,N\A
2,2001/02/18,8,1,16,192,0,0,N\A
2,2001/02/26,11,2,0,136,7,1,N\A
2,2001/03/06,13,2,0,136,7,1,N\A
2,2001/03/14,11,2,0,136,7,1,N\A
2,2001/03/22,7,2,0,200,5,1,N\A
2,2001/03/30,12,3,0,136,6,1,N\A
2,2001/04/07,13,3,0,136,6,1,N\A
2,2001/04/15,15,3,0,128,9,2,N\A
2,2001/04/23,22,4,0,128,5,1,N\A
2,2001/05/01,23,5,0,200,5,1,N\A
2,2001/05/09,33,7,0,136,4,1,N\A
2,2001/05/17,33,7,0,128,4,1,N\A
2,2001/05/25,39,9,0,128,6,2,N\A
2,2001/06/02,37,9,0,128,5,2,N\A
2,2001/06/10,42,10,0,128,4,1,N\A
2,2001/07/04,29,6,0,136,7,2,N\A
2,2001/07/12,29,6,0,128,7,2,N\A
2,2001/07/20,33,7,0,200,4,1,N\A
2,2001/07/28,34,7,0,128,4,1,N\A
2,2001/08/05,29,6,0,136,0,0,N\A
2,2001/08/13,37,8,0,192,6,2,N\A
2,2001/08/21,38,8,0,128,6,2,N\A
2,2001/08/29,34,7,0,136,5,1,N\A
2,2001/09/06,29,5,0,128,6,1,N\A
2,2001/09/14,29,5,0,128,8,2,N\A
2,2001/09/22,27,5,0,128,6,1,N\A
2,2001/09/30,26,5,0,128,6,1,N\A
2,2001/10/08,25,4,0,128,6,1,N\A
2,2001/10/16,20,3,0,128,0,0,N\A
2,2001/10/24,15,3,0,128,7,1,N\A
2,2001/11/01,24,3,0,136,7,1,N\A
2,2001/11/09,20,3,0,128,8,1,N\A
2,2001/11/17,14,2,0,128,8,1,N\A
2,2001/11/25,9,1,0,128,0,0,N\A
2,2001/12/03,9,1,8,176,0,0,N\A
2,2001/12/11,14,2,0,136,8,1,N\A
2,2001/12/19,17,2,0,128,9,1,N\A
2,2001/12/27,9,1,8,176,0,0,N\A